id,Team1Id,Team1,Team2Id,Team2,LeagueId,League,CategoryId,Category,League_Category,Sport,begin,ended,Set1_T1,Set1_T2,Set2_T1,Set2_T2,Set3_T1,Set3_T2,TotScore_T1,TotScore_T2,Tipp1,TippX,Tipp2,Over_Under4_5,Over4_5,Under4_5,Over_Under5_5,Over5_5,Under5_5
118483110,24949,HCB Südtirol,44499,EC Dornbirn,125301,EHL,65201,Österreich,EHL - Österreich,Eishockey,26/09/2014 19:46,26/09/2014 21:54,0,1,0,0,0,1,0,2,1.76568,5.30716,4.08845,4.5,1.40683,3.458,5.5,1.77882,2.284
118483410,3862,Düsseldorfer EG,3863,ERC Ingolstadt,93301,DEL,41201,Deutschland,DEL - Deutschland,Eishockey,26/09/2014 19:31,26/09/2014 21:53,0,3,1,0,1,0,2,3,2.85221,4.52,2.33232,4.5,1.41982,3.382,5.5,1.80812,2.23744
118483510,3853,Adler Mannheim,3847,Kölner Haie,93301,DEL,41201,Deutschland,DEL - Deutschland,Eishockey,26/09/2014 19:30,26/09/2014 21:50,2,0,1,0,1,1,4,1,2.05652,4.6223,3.36249,4.5,1.53831,2.85768,5.5,2.02021,1.98019
118483610,3857,Schwenninger Wings,3851,Augsburger Panther,93301,DEL,41201,Deutschland,DEL - Deutschland,Eishockey,26/09/2014 19:30,26/09/2014 21:59,1,0,1,1,2,1,4,2,2.47101,4.58159,2.65222,4.5,1.43011,3.325,5.5,1.82579,2.21096
118483710,3852,Krefeld Pinguine,5434,Straubing Tigers,93301,DEL,41201,Deutschland,DEL - Deutschland,Eishockey,26/09/2014 19:32,26/09/2014 21:56,0,0,0,0,2,0,2,0,1.80482,5.14714,3.97384,4.5,1.47447,3.1076,5.5,1.85777,2.16582
118483810,3848,Hamburg Freezers,5430,Wolfsburg Grizzly A.,93301,DEL,41201,Deutschland,DEL - Deutschland,Eishockey,26/09/2014 19:30,26/09/2014 22:04,1,0,1,1,1,0,3,1,2.38501,4.32516,2.86116,4.5,1.53831,2.85768,5.5,2.05886,1.94441
118483910,5426,Red Bull München,3860,Iserlohn Roosters,93301,DEL,41201,Deutschland,DEL - Deutschland,Eishockey,26/09/2014 19:30,26/09/2014 21:55,0,0,0,1,1,0,1,1,1.59382,5.70465,5.07606,4.5,1.45415,3.20193,5.5,1.81111,2.23288
118485110,3938,Met. Magnitogorsk,3939,Sibir Nowosibirsk,673301,KHL,101201,Russland,KHL - Russland,Eishockey,23/09/2014 15:01,23/09/2014 17:08,1,0,0,1,1,0,2,1,1.67657,4.88292,5.00753,4.5,1.80728,2.23873,5.5,2.61089,1.62078
118485210,36346,Avto. Yekaterinburg,3935,Met. Nowokusnezk,673301,KHL,101201,Russland,KHL - Russland,Eishockey,23/09/2014 15:00,23/09/2014 17:19,0,3,0,0,2,0,2,3,1.89025,4.73171,3.88363,4.5,1.67876,2.47328,5.5,2.29929,1.76965
118485310,3944,Salavat Yulaev UFA,43854,OHK Dynamo Moskau,673301,KHL,101201,Russland,KHL - Russland,Eishockey,23/09/2014 14:59,23/09/2014 17:19,2,0,0,3,0,1,2,4,2.48706,4.16747,2.81441,4.5,1.62773,2.59305,5.5,2.28472,1.77838
118485410,43853,HC Yugra,6333,Trak. Chelyabinsk,673301,KHL,101201,Russland,KHL - Russland,Eishockey,23/09/2014 15:30,23/09/2014 18:08,2,1,1,0,0,2,3,3,2.293,4.50747,2.92367,4.5,1.63774,2.56804,5.5,2.16952,1.85505
118485510,3947,Ak Bars Kasan,3950,Amur Chabarowsk,673301,KHL,101201,Russland,KHL - Russland,Eishockey,23/09/2014 17:00,23/09/2014 19:17,1,1,2,0,0,0,3,1,1.41828,5.84133,8.0823,4.5,1.6925,2.44403,5.5,2.41893,1.70476
118485610,3943,Sever. Cherepovec,3951,Neft. Nischnekamsk,673301,KHL,101201,Russland,KHL - Russland,Eishockey,23/09/2014 17:00,23/09/2014 19:35,0,1,1,1,1,0,2,2,2.16713,4.44535,3.18871,4.5,1.63774,2.56804,5.5,2.26407,1.7911
